COUNTY,YEAR,STRATA,STRATA NAME,AGE GROUP,NUMBER OF HOSPITALIZATIONS,AGE-ADJUSTED HOSPITALIZATION RATE,COMMENT
Fresno,2015,Age groups,0–4 years,0–4 years,273,33.5,
Glenn,2015,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Humboldt,2015,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Imperial,2015,Age groups,0–4 years,0–4 years,45,28,
Inyo,2015,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Kern,2015,Age groups,0–4 years,0–4 years,113,15,
Kings,2015,Age groups,0–4 years,0–4 years,25,20.3,
Lake,2015,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Lassen,2015,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Los Angeles,2015,Age groups,0–4 years,0–4 years,"1,276",18.7,
Madera,2015,Age groups,0–4 years,0–4 years,26,21.4,
Marin,2015,Age groups,0–4 years,0–4 years,15,11.9,
Mariposa,2015,Age groups,0–4 years,0–4 years,0,0,
Mendocino,2015,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Merced,2015,Age groups,0–4 years,0–4 years,36,16.9,
Modoc,2015,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Mono,2015,Age groups,0–4 years,0–4 years,0,0,
Monterey,2015,Age groups,0–4 years,0–4 years,46,13.6,
Napa,2015,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Nevada,2015,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Orange,2015,Age groups,0–4 years,0–4 years,313,15.5,
Placer,2015,Age groups,0–4 years,0–4 years,26,12.9,
Plumas,2015,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Riverside,2015,Age groups,0–4 years,0–4 years,175,10.9,
Sacramento,2015,Age groups,0–4 years,0–4 years,235,23.4,
San Benito,2015,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
San Bernardino,2015,Age groups,0–4 years,0–4 years,252,15.9,
San Diego,2015,Age groups,0–4 years,0–4 years,440,20.4,
San Francisco,2015,Age groups,0–4 years,0–4 years,113,25.1,
San Joaquin,2015,Age groups,0–4 years,0–4 years,90,16.9,
San Luis Obispo,2015,Age groups,0–4 years,0–4 years,18,13.8,
San Mateo,2015,Age groups,0–4 years,0–4 years,47,10,
Santa Barbara,2015,Age groups,0–4 years,0–4 years,34,12.1,
Santa Clara,2015,Age groups,0–4 years,0–4 years,168,13.4,
Santa Cruz,2015,Age groups,0–4 years,0–4 years,18,10.9,
Shasta,2015,Age groups,0–4 years,0–4 years,21,19.8,
Sierra,2015,Age groups,0–4 years,0–4 years,0,0,
Siskiyou,2015,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Solano,2015,Age groups,0–4 years,0–4 years,42,16.5,
Sonoma,2015,Age groups,0–4 years,0–4 years,54,19.5,
Stanislaus,2015,Age groups,0–4 years,0–4 years,60,15.2,
Sutter,2015,Age groups,0–4 years,0–4 years,11,,Rate not available due to statistical instability
Tehama,2015,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Trinity,2015,Age groups,0–4 years,0–4 years,0,0,
Tulare,2015,Age groups,0–4 years,0–4 years,79,19.1,
Tuolumne,2015,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Ventura,2015,Age groups,0–4 years,0–4 years,60,10.6,
Yolo,2015,Age groups,0–4 years,0–4 years,24,20.5,
Yuba,2015,Age groups,0–4 years,0–4 years,11,,Rate not available due to statistical instability
California,2015,Age groups,5–17 years,5–17 years,"4,637",7.1,
Alameda,2015,Age groups,5–17 years,5–17 years,275,11,
Alpine,2015,Age groups,5–17 years,5–17 years,0,0,
Amador,2015,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Butte,2015,Age groups,5–17 years,5–17 years,27,8,
Calaveras,2015,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Colusa,2015,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Contra Costa,2015,Age groups,5–17 years,5–17 years,145,8.1,
Del Norte,2015,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
El Dorado,2015,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Fresno,2015,Age groups,5–17 years,5–17 years,258,12.7,
Glenn,2015,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Humboldt,2015,Age groups,5–17 years,5–17 years,11,,Rate not available due to statistical instability
Imperial,2015,Age groups,5–17 years,5–17 years,70,18.8,
Inyo,2015,Age groups,5–17 years,5–17 years,0,0,
Kern,2015,Age groups,5–17 years,5–17 years,104,5.5,
Kings,2015,Age groups,5–17 years,5–17 years,27,8.5,
Lake,2015,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Lassen,2015,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Los Angeles,2015,Age groups,5–17 years,5–17 years,"1,363",8.4,
Madera,2015,Age groups,5–17 years,5–17 years,22,6.9,
Marin,2015,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Mariposa,2015,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Mendocino,2015,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Merced,2015,Age groups,5–17 years,5–17 years,37,6.3,
Modoc,2015,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Mono,2015,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Monterey,2015,Age groups,5–17 years,5–17 years,67,8.2,
Napa,2015,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Nevada,2015,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Orange,2015,Age groups,5–17 years,5–17 years,249,4.9,
Placer,2015,Age groups,5–17 years,5–17 years,16,2.6,
Plumas,2015,Age groups,5–17 years,5–17 years,0,0,
Riverside,2015,Age groups,5–17 years,5–17 years,262,6,
Sacramento,2015,Age groups,5–17 years,5–17 years,234,9,
San Benito,2015,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
San Bernardino,2015,Age groups,5–17 years,5–17 years,317,7.7,
San Diego,2015,Age groups,5–17 years,5–17 years,348,6.7,
San Francisco,2015,Age groups,5–17 years,5–17 years,78,9.4,
San Joaquin,2015,Age groups,5–17 years,5–17 years,95,6.7,
San Luis Obispo,2015,Age groups,5–17 years,5–17 years,22,6.1,
San Mateo,2015,Age groups,5–17 years,5–17 years,44,3.7,
Santa Barbara,2015,Age groups,5–17 years,5–17 years,40,5.7,
Santa Clara,2015,Age groups,5–17 years,5–17 years,131,4.1,
Santa Cruz,2015,Age groups,5–17 years,5–17 years,12,3.1,
Shasta,2015,Age groups,5–17 years,5–17 years,20,7.3,
Sierra,2015,Age groups,5–17 years,5–17 years,0,0,
Siskiyou,2015,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Solano,2015,Age groups,5–17 years,5–17 years,32,4.6,
Sonoma,2015,Age groups,5–17 years,5–17 years,36,4.8,
Stanislaus,2015,Age groups,5–17 years,5–17 years,77,7.4,
Sutter,2015,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Tehama,2015,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Trinity,2015,Age groups,5–17 years,5–17 years,0,0,
Tulare,2015,Age groups,5–17 years,5–17 years,66,6.2,
Tuolumne,2015,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Ventura,2015,Age groups,5–17 years,5–17 years,50,3.5,
Yolo,2015,Age groups,5–17 years,5–17 years,14,4.4,
Yuba,2015,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
California,2015,Age groups,18–64 years,18–64 years,"10,939",4.3,
Alameda,2015,Age groups,18–64 years,18–64 years,492,4.5,
Alpine,2015,Age groups,18–64 years,18–64 years,0,0,
Amador,2015,Age groups,18–64 years,18–64 years,13,4,
Butte,2015,Age groups,18–64 years,18–64 years,57,4,
Calaveras,2015,Age groups,18–64 years,18–64 years,17,5.1,
Colusa,2015,Age groups,18–64 years,18–64 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Contra Costa,2015,Age groups,18–64 years,18–64 years,379,5.1,
Del Norte,2015,Age groups,18–64 years,18–64 years,,,Count and rate suppressed in accordance with data de-identification guidelines
El Dorado,2015,Age groups,18–64 years,18–64 years,34,3.5,
Fresno,2015,Age groups,18–64 years,18–64 years,360,6,
Glenn,2015,Age groups,18–64 years,18–64 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Humboldt,2015,Age groups,18–64 years,18–64 years,47,5.1,
Imperial,2015,Age groups,18–64 years,18–64 years,34,3.1,
Inyo,2015,Age groups,18–64 years,18–64 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Kern,2015,Age groups,18–64 years,18–64 years,321,5.7,
Kings,2015,Age groups,18–64 years,18–64 years,49,5.3,
Lake,2015,Age groups,18–64 years,18–64 years,36,8.9,
Lassen,2015,Age groups,18–64 years,18–64 years,21,8.8,
Los Angeles,2015,Age groups,18–64 years,18–64 years,"3,635",5.4,
Madera,2015,Age groups,18–64 years,18–64 years,30,2.9,
Marin,2015,Age groups,18–64 years,18–64 years,28,1.6,
Mariposa,2015,Age groups,18–64 years,18–64 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Mendocino,2015,Age groups,18–64 years,18–64 years,15,2.8,
Merced,2015,Age groups,18–64 years,18–64 years,77,5,
Modoc,2015,Age groups,18–64 years,18–64 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Mono,2015,Age groups,18–64 years,18–64 years,0,0,
Monterey,2015,Age groups,18–64 years,18–64 years,84,3,
Napa,2015,Age groups,18–64 years,18–64 years,15,1.4,
Nevada,2015,Age groups,18–64 years,18–64 years,32,5.9,
Orange,2015,Age groups,18–64 years,18–64 years,585,2.8,
Placer,2015,Age groups,18–64 years,18–64 years,54,2.3,
Plumas,2015,Age groups,18–64 years,18–64 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Riverside,2015,Age groups,18–64 years,18–64 years,605,4.1,
Sacramento,2015,Age groups,18–64 years,18–64 years,467,4.9,
San Benito,2015,Age groups,18–64 years,18–64 years,,,Count and rate suppressed in accordance with data de-identification guidelines
San Bernardino,2015,Age groups,18–64 years,18–64 years,792,5.7,
San Diego,2015,Age groups,18–64 years,18–64 years,725,3.3,
San Francisco,2015,Age groups,18–64 years,18–64 years,237,4,
San Joaquin,2015,Age groups,18–64 years,18–64 years,169,3.7,
San Luis Obispo,2015,Age groups,18–64 years,18–64 years,44,2.8,
San Mateo,2015,Age groups,18–64 years,18–64 years,117,2.2,
Santa Barbara,2015,Age groups,18–64 years,18–64 years,52,2,
Santa Clara,2015,Age groups,18–64 years,18–64 years,420,3.3,
Santa Cruz,2015,Age groups,18–64 years,18–64 years,34,1.8,
Shasta,2015,Age groups,18–64 years,18–64 years,41,3.7,
Sierra,2015,Age groups,18–64 years,18–64 years,0,0,
Siskiyou,2015,Age groups,18–64 years,18–64 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Solano,2015,Age groups,18–64 years,18–64 years,87,2.9,
Sonoma,2015,Age groups,18–64 years,18–64 years,82,2.4,
Stanislaus,2015,Age groups,18–64 years,18–64 years,172,5.1,
Sutter,2015,Age groups,18–64 years,18–64 years,19,3.2,
Tehama,2015,Age groups,18–64 years,18–64 years,15,3.6,
Trinity,2015,Age groups,18–64 years,18–64 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Tulare,2015,Age groups,18–64 years,18–64 years,119,4.2,
Tuolumne,2015,Age groups,18–64 years,18–64 years,19,5.5,
Ventura,2015,Age groups,18–64 years,18–64 years,122,2.1,
Yolo,2015,Age groups,18–64 years,18–64 years,35,2.8,
Yuba,2015,Age groups,18–64 years,18–64 years,13,2.8,
California,2015,Age groups,65+ years,65+ years,"6,938",14.2,
Alameda,2015,Age groups,65+ years,65+ years,332,17.2,
Alpine,2015,Age groups,65+ years,65+ years,0,0,
Amador,2015,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Butte,2015,Age groups,65+ years,65+ years,32,8.4,
Calaveras,2015,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Colusa,2015,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Contra Costa,2015,Age groups,65+ years,65+ years,225,14.5,
Del Norte,2015,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
El Dorado,2015,Age groups,65+ years,65+ years,15,4.5,
Fresno,2015,Age groups,65+ years,65+ years,209,19,
Glenn,2015,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Humboldt,2015,Age groups,65+ years,65+ years,14,6.6,
Imperial,2015,Age groups,65+ years,65+ years,24,10.4,
Inyo,2015,Age groups,65+ years,65+ years,0,0,
Kern,2015,Age groups,65+ years,65+ years,119,13,
Kings,2015,Age groups,65+ years,65+ years,41,30,
Lake,2015,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Lassen,2015,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Los Angeles,2015,Age groups,65+ years,65+ years,"2,270",18.7,
Madera,2015,Age groups,65+ years,65+ years,29,14.7,
Marin,2015,Age groups,65+ years,65+ years,26,5.4,
Mariposa,2015,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Mendocino,2015,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Merced,2015,Age groups,65+ years,65+ years,65,22.4,
